Mesh,z,x,y,r,T,U,Vol
0.0,1.0,-0.0004299092433939222,-0.0015383149730041623,0.0015972585619505476,313.398,0.483649,6.099991018951606e-11
0.0,1.0,-0.0001222157470692764,-0.001622567477170378,0.0016271637615196408,313.939,0.462963,5.7711709920420564e-11
0.0,1.0,-0.00017952462621906307,-0.0013089574640616775,0.0013212110861409965,308.545,0.645706,5.735339151925228e-11
0.0,1.0,0.00014761189333967195,0.0003355598441885377,0.0003665919803912224,298.049,0.951496,1.2172666674274378e-10
0.0,1.0,0.00033325439392228873,-9.669365817899234e-05,0.00034699878184303156,297.945,0.954391,1.2858152286124629e-10
0.0,1.0,-2.6764499125420116e-05,0.0007514902608818375,0.0007519667217461732,300.899,0.869833,1.0513225715974978e-10
0.0,1.0,-0.0004745370060845744,0.0005318779913068283,0.0007127970032065917,300.483,0.881131,1.201308126041728e-10
0.0,1.0,-0.00032263235959817393,8.19830843283853e-05,0.0003328856644193026,297.884,0.956223,1.2899533972075734e-10
0.0,1.0,-0.00013641885641391127,-0.0003496704098324699,0.0003753391798063277,298.092,0.950247,1.2106577212096768e-10
0.0,1.0,3.901420313923154e-05,-0.0007615099893882871,0.0007625087356776566,301.016,0.866565,1.0373161509562559e-10
0.0,1.0,0.00048585975673631765,-0.0005428987496998161,0.0007285593700183241,300.64,0.876697,1.185564699861562e-10
0.0,1.0,0.0009852977527771145,-0.00031902675436867867,0.0010356590807937933,304.027,0.778756,1.5016954413124043e-10
0.0,1.0,0.0008407967543462291,0.00018322999494557735,0.0008605303092668553,301.879,0.839919,1.60980201566069e-10
0.0,1.0,0.0006000364955980331,0.0006127874949015677,0.0008576434631927811,301.937,0.839324,1.2401354300596814e-10
0.0,1.0,0.00037690075077989604,0.0009860057616606355,0.0010555858742738173,304.534,0.765911,9.175888560695332e-11
0.0,1.0,-0.00016485580363223562,0.0011490069882711396,0.0011607732315517725,306.101,0.721023,8.572933921752677e-11
0.0,1.0,-0.0005770889983978122,0.0009793072240427136,0.0011366944845181734,305.717,0.731953,1.014348135245698e-10
0.0,1.0,-0.0010144239786313847,0.000813432241557166,0.0013002799775536974,308.134,0.65781,1.0484952135410239e-10
0.0,1.0,-0.0009762684931047261,0.00030870375303493347,0.0010239131690562564,303.858,0.78358,1.5218920834436809e-10
0.0,1.0,-0.0008315737504744902,-0.00019670300571306143,0.0008545214888665834,301.805,0.842032,1.6182111588646524e-10
0.0,1.0,-0.0005889507447136566,-0.0006245370022952557,0.0008584342997193873,301.949,0.838952,1.2302084091145995e-10
0.0,1.0,-0.00036475104752753396,-0.0009935924754245207,0.0010584277650801967,304.579,0.764624,9.094695840829006e-11
0.0,1.0,0.0001765796241670614,-0.0011546422174433246,0.0011680663568365533,306.214,0.717707,8.490358395155228e-11
