Mesh,z,x,y,r,T,U
2.2,1.0,-0.0007643397475476377,0.0001369153733321582,0.0007765056787531374,300.542,0.882772
2.2,1.0,-3.4821899930648215e-05,-0.000514619499881519,0.0005157962721589648,298.273,0.946331
2.2,1.0,-3.388242487289972e-05,-0.0004094334981346037,0.00041083306598910246,297.609,0.965117
2.2,1.0,-0.0001341214247077005,-0.00040134899973054416,0.0004231661330379969,297.68,0.963105
2.2,1.0,-0.00023296537438000087,-0.00039803374966140836,0.00046119814779499565,297.91,0.956583
2.2,1.0,-0.0003272495014243759,-0.00039779749931767583,0.0005151068691503724,298.269,0.946431
2.2,1.0,-0.0004127177562622819,-0.00039994549661059864,0.0005747106633718142,298.717,0.933829
2.2,1.0,-0.0004842783746425994,-0.0004013819998363033,0.0006289936835446506,299.173,0.921037
2.2,1.0,-0.0005410629964899272,-0.00038106675128801726,0.0006617862457832306,299.486,0.912282
2.2,1.0,-0.0005963128787698224,-0.00033317312409053557,0.0006830764086125361,299.661,0.907399
2.2,1.0,-0.0006601592540391721,-0.0002759037506621098,0.0007154950176786528,299.963,0.89894
2.2,1.0,-0.0007295048781088553,-0.00021910637588007376,0.0007616987404058877,300.428,0.885952
2.2,1.0,-0.0008007063806871884,-0.00017013612432492664,0.0008185823164920456,301.045,0.868681
2.2,1.0,-0.0008017701184144244,0.0002553896210883977,0.0008414625252154462,301.291,0.861791
2.2,1.0,-0.0007073010056046769,0.0002817598742694827,0.0007613562499104752,300.411,0.886435
2.2,1.0,-0.0006098826270317659,0.00031811675216886215,0.0006878626947041344,299.671,0.907144
2.2,1.0,-0.000506113501614891,0.00036145175181445666,0.0006219310616190719,299.058,0.924281
2.2,1.0,-0.0004168997475062497,0.0004281644942238927,0.0005976037429474288,298.873,0.929487
2.2,1.0,-0.00034414987021591514,0.0005033366214775015,0.0006097432965519316,298.988,0.926267
2.2,1.0,-0.0002695534985832637,0.000569392868783325,0.0006299740690058459,299.146,0.921846
2.2,1.0,-0.00022138062377052847,0.0006442262456403114,0.0006812024927676344,299.586,0.909514
2.2,1.0,-0.00013750241123489104,0.0006364761211443692,0.000651159554857633,299.333,0.916622
2.2,1.0,-5.532809223041113e-05,0.000660770368995145,0.0006630827085151873,299.46,0.913062
2.2,1.0,1.3090445236230153e-05,0.0006904857364133932,0.000690609811649696,299.726,0.905605
2.2,1.0,6.867747515570954e-05,0.000716968992492184,0.0007202507423036929,300.027,0.897188
2.2,1.0,0.00012052047441102332,0.0007227780006360263,0.0007327572742427534,300.162,0.893415
2.2,1.0,0.0001839528722484829,0.0007071294967317954,0.0007306646182460382,300.121,0.894552
2.2,1.0,0.0002676084986887872,0.0006844969902886078,0.0007349492759943566,300.144,0.893906
2.2,1.0,0.0003595970047172159,0.0004599997482728213,0.0005838747932670603,298.798,0.931597
2.2,1.0,0.00037557262839982286,0.0003677357453852892,0.0005256276035723635,298.341,0.94445
2.2,1.0,0.00039910199848236516,0.0002574655009084381,0.00047494303800629686,297.987,0.954456
2.2,1.0,0.0004335896228440106,0.000134898964461172,0.0004540899598655622,297.849,0.958349
2.2,1.0,0.00048016849905252457,4.78985066365567e-06,0.00048019238868575833,298.007,0.953884
2.2,1.0,0.0005420778688858263,-0.00012220198686918593,0.0005556813309177984,298.539,0.938891
2.2,1.0,0.0006123672428657301,-0.00023671250346524175,0.0006565260462706397,299.387,0.915081
2.2,1.0,0.0005160489963600412,-0.00030712050102010835,0.0006005244114863676,298.903,0.928651
2.2,1.0,0.0004310099975555204,-0.000386788000469096,0.000579115338511847,298.734,0.933401
2.2,1.0,0.0003617819929786492,-0.0004672112481785007,0.0005909082508038925,298.84,0.930429
2.2,1.0,0.0003045999983442016,-0.0005364896132959984,0.00061692970763757,299.065,0.924089
2.2,1.0,0.0002563113775977399,-0.0005890052416361868,0.0006423571412858692,299.301,0.917471
2.2,1.0,0.00020401550318638328,-0.0006133015049272217,0.0006463443830392495,299.339,0.916424
2.2,1.0,0.00013619315086543793,-0.000616371507931035,0.0006312387901038988,299.192,0.92053
2.2,1.0,5.5835937473602826e-05,-0.0006159274998935871,0.0006184531809593357,299.077,0.923749
2.2,1.0,-3.2563662443862995e-05,-0.0006143703722045757,0.000615232757868554,299.047,0.924588
2.2,1.0,-0.0008556741231586784,-5.587184048749805e-05,0.0008574962784775416,301.489,0.856211
2.2,1.0,-0.0008526071105734445,3.625650853678053e-05,0.0008533776534522541,301.436,0.857716
2.2,1.0,-0.000865634239744395,0.0001377420112476102,0.000876524670890896,301.701,0.850253
2.2,1.0,-0.0008921176195144653,0.00023828562189009972,0.0009233925950795295,302.286,0.833744
2.2,1.0,-0.0009242882442777045,0.0003319942479720339,0.0009821043423162723,303.05,0.812053
2.2,1.0,-0.0008413108735112473,0.00035756349461735226,0.0009141420231951003,302.172,0.836978
2.2,1.0,-0.0007550038790213875,0.00038987212246865965,0.0008497241488951338,301.394,0.858899
2.2,1.0,-0.0006663805033895187,0.0004301933731767349,0.0007931767228196034,300.754,0.876857
2.2,1.0,-0.0005769615090684965,0.0004786998724739533,0.0007496920373414513,300.292,0.889767
2.2,1.0,-0.000491523758682888,0.0005354973654903006,0.0007268789677771716,300.065,0.896114
2.2,1.0,-0.00041208725451724604,0.0005936649904469959,0.0007226714510882475,300.029,0.89713
2.2,1.0,-0.0003392696307855658,0.0006468737483373843,0.0007304447471653361,300.111,0.89484
2.2,1.0,-0.0002791720016830368,0.0006942933760001324,0.0007483183136081695,300.307,0.88935
2.2,1.0,-0.00022091162463766523,0.0007189023745013401,0.0007520788322800461,300.35,0.888157
2.2,1.0,-0.00015240124957927037,0.0007279926212504506,0.0007437737542212855,300.252,0.890898
2.2,1.0,-8.069249906839104e-05,0.0007437634922098368,0.0007481279380895184,300.296,0.889669
2.2,1.0,-1.1874411711687571e-05,0.0007626723599969409,0.0007627647936007549,300.452,0.885307
2.2,1.0,5.273598821986525e-05,0.0007793198674335144,0.0007811021317536627,300.652,0.879687
2.2,1.0,0.00011675802579702577,0.0007868253669585101,0.0007954411321256985,300.81,0.875262
2.2,1.0,0.00018617462410475127,0.0007844732390367426,0.0008062625214068577,300.922,0.872114
2.2,1.0,0.00026461312336323317,0.0007788787406752817,0.0008226008738944777,301.096,0.867238
2.2,1.0,0.0003644928765424993,0.0006807931131334044,0.0007722268578210019,300.517,0.883465
2.2,1.0,0.00039920037670526654,0.0005792577503598295,0.0007034916361361784,299.845,0.902256
2.2,1.0,0.00044110875023761764,0.00048479062752448954,0.0006554379315173797,299.4,0.914718
2.2,1.0,0.0004719914941233583,0.0003870347500196658,0.0006103866547096073,299.0,0.925926
2.2,1.0,0.0005052938649896532,0.0002806710017466685,0.0005780121981564579,298.73,0.933502
2.2,1.0,0.0005449342497740872,0.00016734643941163085,0.000570051021717002,298.662,0.93542
2.2,1.0,0.0005925553778070025,5.0558463044581003e-05,0.0005947083604199875,298.855,0.930005
2.2,1.0,0.0006487641221610829,-6.445322469517123e-05,0.0006519579007704768,299.344,0.916295
2.2,1.0,0.0007110189981176518,-0.00017308250244241208,0.0007317824597077719,300.107,0.894921
2.2,1.0,-0.0001260979506696458,-0.0006120090038166381,0.0006248645564566118,299.127,0.922323
2.2,1.0,-0.00013024612599110696,-0.0005084530057501979,0.0005248699957057006,298.338,0.944491
2.2,1.0,-0.00022671812803309876,-0.0005037047521909699,0.0005523763091938312,298.541,0.938765
2.2,1.0,-0.0003214132520952262,-0.0004982312457286753,0.0005929088065147768,298.862,0.929747
2.2,1.0,-0.0004115653755434323,-0.0004900143649138045,0.0006399219766253427,299.263,0.918498
