Mesh,z,x,y,r,T,Vol,time
0,0.0620624981820583,-0.000107255731450095,-0.000182797924935585,0.000211940730605636,293.149993896484,1.33562924521334e-11,0
0,0.0620624981820583,2.94845541475297e-05,-0.000282613444142044,0.000284147316973268,293.149993896484,1.48243823225425e-11,0
0,0.0620624981820583,0.00022588684441871,-0.000202866984182037,0.000303611395953046,293.149993896484,8.40018659115806e-12,0
0,0.0620624981820583,0.000265721948380815,-9.54145393734507e-05,0.000282333292714735,293.149993896484,4.92406677841583e-12,0
0,0.0620624981820583,-0.000217441565837362,-0.000308830716676312,0.000377699941907075,293.149993896484,1.5480930269428e-11,0
0,0.0620624981820583,-7.30340289010201e-05,-0.00041408117976971,0.000420472582717339,293.149993896484,1.45132732118851e-11,0
0,0.0620624981820583,0.000337690107699018,-0.000354003066604491,0.000489236936466533,293.149993896484,9.84939313905286e-12,0
0,0.0620624981820583,0.000350874346622732,-0.000222534301428823,0.000415492866882625,293.149993896484,7.86043623693444e-12,0
0,0.0620624981820583,0.000358600642357487,-0.000109745434201614,0.000375017974272305,293.149993896484,5.007475669168e-12,0
0,0.0620624981820583,0.000327173605910502,-2.21998402594181e-05,0.000327925908265914,293.149993896484,4.82411427892556e-12,0
0,0.0620624981820583,0.000256421961239539,5.78900148866524e-05,0.000262875400198475,293.149993896484,7.18698657444561e-12,0
0,0.0620624981820583,0.000172768175616511,0.00014586211364076,0.000226107493687422,293.149993896484,8.58962865922512e-12,0
0,0.0620624981820583,8.25776930923894e-05,0.00023848534328863,0.00025237736499131,293.149993896484,9.25598573232785e-12,0
0,0.0620624981820583,-9.5369598511752e-06,0.000335139007802354,0.000335274675682416,293.149993896484,9.19821541191642e-12,0
0,0.0620624981820583,0.00042236070294166,3.68374235222291e-05,0.000423964101264634,293.149993896484,7.55403862376657e-12,0
0,0.0620624981820583,0.000353946241375525,0.000140330612339312,0.000380750078848826,293.149993896484,8.37074714422279e-12,0
0,0.0620624981820583,0.000272994580882369,0.000239832606894197,0.000363380957840125,293.149993896484,9.03282645314628e-12,0
0,0.0620624981820583,0.00018310473569727,0.000335373591951793,0.000382103114896248,293.149993896484,9.21299498525878e-12,0
0,0.0620624981820583,-9.90298485703534e-05,0.000433058856287971,0.000444237418411949,293.149993896484,8.57034003781502e-12,0
0,0.0620624981820583,-0.000197661847778363,0.00034666400460992,0.000399056560100625,293.149993896484,8.66284812431002e-12,0
0,0.0620624981820583,-0.000294089426461142,0.000261890312685864,0.000393795793064048,293.149993896484,8.0405865430497e-12,0
0,0.0620624981820583,-0.0004520889633568,-3.40353285537276e-05,0.000453368320881363,293.149993896484,1.37979491344333e-11,0
0,0.0620624981820583,-0.000346170272678137,-0.00018032689604297,0.000390322491182033,293.149993896484,1.592960276734e-11,0
0,0.0620624981820583,-0.000482402239867952,-0.000265277951257303,0.000550530936871752,293.149993896484,1.27958538324424e-11,0
0,0.0620624981820583,0.000334929645759985,-0.000493248757265974,0.000596214897627807,293.149993896484,1.01388230321459e-11,0
0,0.0620624981820583,0.000483638483274262,-0.00021366510191001,0.000528733352719539,293.149993896484,9.76943373416464e-12,0
0,0.0620624981820583,0.000531146048160736,0.000106784022591455,0.000541773893757884,293.149993896484,9.03781087924018e-12,0
0,0.0620624981820583,0.00046184092934709,0.000223961724259425,0.000513279551466293,293.149993896484,9.66731511644371e-12,0
0,0.0620624981820583,0.000378724864276592,0.000335507833369775,0.000505962477930729,293.149993896484,1.03025963555252e-11,0
0,0.0620624981820583,0.000281715663732029,0.000435560301411897,0.000518725834480991,293.149993896484,9.84042489209094e-12,0
0,0.0620624981820583,-0.000182097181095742,0.000533331745828036,0.000563562005879563,293.149993896484,8.4791451724812e-12,0
0,0.0620624981820583,-0.000279257699730806,0.000449201033916324,0.000528929514898191,293.149993896484,8.18011394171928e-12,0
0,0.0620624981820583,-0.000368568347766995,0.000364112704119179,0.000518093320046373,293.149993896484,7.45477797595881e-12,0
0,0.0620624981820583,-0.000656160889775492,-1.220964412596e-05,0.000656274476633556,293.149993896484,8.65774362036429e-12,0
0,0.0620624981820583,-0.000570344520383514,-0.000129456816011952,0.000584852066033329,293.149993896484,1.1297582617293e-11,0
0,0.0620624981820583,-0.000436999383964576,-0.000400300239562057,0.000592628672423853,293.149993896484,8.33112373393244e-12,0
0,0.0620624981820583,-0.000303815591905732,-0.000443291675765067,0.000537411782237449,293.149993896484,1.21367465759004e-11,0
0,0.0620624981820583,-0.00017690405184112,-0.000525854477018584,0.000554813459244,293.149993896484,9.80865743808406e-12,0
0,0.0620624981820583,-8.07636876771767e-05,-0.000605588167672977,0.00061094991781056,293.149993896484,5.92386557215674e-12,0
0,0.0620624981820583,2.96957044128021e-05,-0.00053752866369905,0.000538348306543875,293.149993896484,1.17661500593853e-11,0
0,0.0620624981820583,0.00017983137149713,-0.000499472633237019,0.000530859900093481,293.149993896484,1.33144618982623e-11,0
0,0.0620624981820583,0.000811135600088164,-0.000160208324814448,0.000826805702127312,293.149993896484,6.15972425931329e-12,0
0,0.0620624981820583,0.000759180504246615,-5.75410417695821e-05,0.00076135800351482,293.149993896484,7.2197689748032e-12,0
0,0.0620624981820583,0.000704780148225836,5.47761478628672e-05,0.000706905569158941,293.149993896484,8.6891581239073e-12,0
0,0.0620624981820583,0.000649407433229499,0.000179472153831739,0.000673750894867479,293.149993896484,1.01499069768017e-11,0
0,0.0620624981820583,0.000580693857045844,0.00030840062754578,0.000657507644580206,293.149993896484,1.13504395080225e-11,0
0,0.0620624981820583,0.00049420959840063,0.000440625881310552,0.00066211350570126,293.149993896484,1.36286610081525e-11,0
0,0.0620624981820583,0.000379714925657026,0.000550606040633284,0.000668842609848223,293.149993896484,1.26506852760591e-11,0
0,0.0620624981820583,5.63381579468114e-05,0.000735289446311072,0.000737444613443804,293.149993896484,4.16262261914414e-12,0
0,0.0620624981820583,-3.23851638768247e-05,0.000744716642657295,0.000745420469728382,293.149993896484,4.56245973162106e-12,0
0,0.0620624981820583,-0.000143771632792777,0.000715507587301545,0.000729809146203293,293.149993896484,9.04631428146238e-12,0
0,0.0620624981820583,-0.000262859557551565,0.000646550543024205,0.000697941796771836,293.149993896484,1.08143590824637e-11,0
0,0.0620624981820583,-0.000364260435162578,0.000551158918824513,0.000660652570133982,293.149993896484,8.89790190947808e-12,0
0,0.0620624981820583,-0.000453357009973843,0.000459419599792454,0.000645444766936631,293.149993896484,8.12985011979963e-12,0
0,0.0620624981820583,-0.00053278605628293,0.000367113563697785,0.00064701881767102,293.149993896484,7.42402365228667e-12,0
0,0.0620624981820583,-0.000740148490876891,8.22583049853165e-05,0.000744705456731986,293.149993896484,6.58010027019729e-12,0
0,0.0620624981820583,-0.000757242902182043,-8.21069372136662e-05,0.000761681273265722,293.149993896484,7.25223671242733e-12,0
0,0.0620624981820583,-0.0006953871488804,-0.000203310119104572,0.000724498648279158,293.149993896484,1.09280207298186e-11,0
0,0.0620624981820583,-0.000618635327555239,-0.000329293601680547,0.000700816626948252,293.149993896484,1.06362240842006e-11,0
0,0.0620624981820583,-0.000546123061212711,-0.000434520727139898,0.000697895880703223,293.149993896484,6.08179169251484e-12,0
0,0.0620624981820583,-0.000471079285489395,-0.000509256300574634,0.000693727376490334,293.149993896484,6.14174552905141e-12,0
0,0.0620624981820583,-0.000367206550436094,-0.00057946183369495,0.000686015063531618,293.149993896484,1.03630629225063e-11,0
0,0.0620624981820583,-0.000247482108534314,-0.000646870394120924,0.000692595625769287,293.149993896484,9.70765056750667e-12,0
0,0.0620624981820583,-0.000137124876346206,-0.000690664877765812,0.000704145727170325,293.149993896484,5.42514722969345e-12,0
0,0.0620624981820583,-3.95950966805003e-05,-0.000699742493452504,0.000700861847174082,293.149993896484,5.53800637888254e-12,0
0,0.0620624981820583,7.48245281982918e-05,-0.000676067982567474,0.000680196021065216,293.149993896484,9.03581977276702e-12,0
0,0.0620624981820583,0.000208511402888689,-0.000650679328828119,0.000683271976667286,293.149993896484,1.02581751176731e-11,0
