                    QOI  subset    p    s    b       beta0         beta1    gamma1     objective  p-value
163      Tavg_z0.001_t1       0  1.0  1.0   62  300.001165 -2.691315e-03  1.175553  2.654638e-07      NaN
164      Tavg_z0.001_t1       0  1.0  1.0   63  300.001164 -5.996222e-02  1.699927  6.396290e-07      NaN
165      Tavg_z0.001_t1       0  1.0  1.0   64  300.001166 -1.421737e-03  0.953053  4.203399e-07      NaN
166      Tavg_z0.001_t1       0  1.0  1.0   65  300.001165 -1.506540e-02  1.407190  2.714938e-06      NaN
167      Tavg_z0.001_t1       0  1.0  1.0   66  300.001165 -2.345587e-02  1.503341  1.334732e-06      NaN
168      Tavg_z0.001_t1       0  1.0  1.0   67  300.001164 -3.276433e-01  2.000000  3.490209e-07      NaN
169      Tavg_z0.001_t1       0  1.0  1.0   68  300.001164 -1.990374e-01  1.935059  1.674284e-06      NaN
170      Tavg_z0.001_t1       0  1.0  1.0   69  300.001171 -4.318978e-05  0.250000  2.129523e-06      NaN
171      Tavg_z0.001_t1       0  1.0  1.0   70  300.001164 -3.750890e-02  1.590186  1.043040e-06      NaN
172      Tavg_z0.001_t1       0  1.0  1.0   71  300.001165 -2.964554e-02  1.537636  6.448084e-07      NaN
173      Tavg_z0.001_t1       0  1.0  1.0   72  300.001172 -4.808108e-05  0.250000  1.102027e-06      NaN
174      Tavg_z0.001_t1       0  1.0  1.0   73  300.001165 -2.345530e-02  1.503337  1.114205e-06      NaN
175      Tavg_z0.001_t1       0  1.0  1.0   74  300.001152  4.621602e-05  0.250000  3.127291e-06      NaN
176      Tavg_z0.001_t1       0  1.0  1.0   75  300.001165 -6.771840e-03  1.305298  4.016547e-07      NaN
177      Tavg_z0.001_t1       0  1.0  1.0   76  300.001164 -1.194571e-01  1.817810  3.494053e-06      NaN
178      Tavg_z0.001_t1       0  1.0  1.0   77  300.001165 -1.892401e-02  1.462874  1.105101e-06      NaN
179      Tavg_z0.001_t1       0  1.0  1.0   78  300.001165 -2.895871e-02  1.532758  9.175068e-07      NaN
180      Tavg_z0.001_t1       0  1.0  1.0   79  300.001191 -1.617454e-04  0.250000  2.432401e-06      NaN
181      Tavg_z0.001_t1       0  1.0  1.0   80  300.001164 -1.463310e-01  1.868359  3.880602e-07      NaN
182      Tavg_z0.001_t1       0  1.0  1.0   81  300.001174 -6.353050e-05  0.250000  7.728487e-07      NaN
183      Tavg_z0.001_t1       0  1.0  1.0   82  300.001165 -2.913617e-02  1.544480  2.492880e-07      NaN
184      Tavg_z0.001_t1       0  1.0  1.0   83  300.001165 -2.448403e-02  1.512383  5.644132e-07      NaN
185      Tavg_z0.001_t1       0  1.0  1.0   84  300.001164 -4.545082e-01  2.000000  2.566968e-06      NaN
186      Tavg_z0.001_t1       0  1.0  1.0   85  300.001164 -3.713651e-01  2.000000  1.190143e-07      NaN
187      Tavg_z0.001_t1       0  1.0  1.0   86  300.001165 -2.254122e-02  1.498983  2.580807e-06      NaN
188      Tavg_z0.001_t1       0  1.0  1.0   87  300.001164 -2.572105e-01  1.884180  2.307082e-06      NaN
189      Tavg_z0.001_t1       0  1.0  1.0   88  300.001167 -3.399565e-04  0.674202  1.019562e-06      NaN
190      Tavg_z0.001_t1       0  1.0  1.0   89  300.001173 -6.614998e-05  0.250000  4.254800e-06      NaN
191      Tavg_z0.001_t1       0  1.0  1.0   90  300.001165 -7.717909e-04  0.863525  6.043499e-07      NaN
192      Tavg_z0.001_t1       0  1.0  1.0   91  300.001165 -4.456753e-02  1.617877  6.467388e-07      NaN
