                    QOI  subset    p    s    b       beta0         beta1    gamma1     objective  p-value
6572      Tavg_z0.03_t6       0  inf  1.0    7  307.242690  2.173859e-01  0.250000  1.820430e-02      NaN
6573      Tavg_z0.03_t6       0  inf  1.0    8  307.234575  1.594675e-01  0.250000  6.601211e-03      NaN
6574      Tavg_z0.03_t6       0  inf  1.0    9  307.226062  2.488454e-01  0.250000  9.345450e-03      NaN
6575      Tavg_z0.03_t6       0  inf  1.0   10  307.255188 -9.612963e+02  2.000000  5.318621e-03      NaN
6576      Tavg_z0.03_t6       0  inf  1.0   11  307.271194 -4.261346e+03  1.728326  2.011978e-02      NaN
6577      Tavg_z0.03_t6       0  inf  1.0   12  307.020258  1.242177e+00  0.250000  1.949680e-02      NaN
6578      Tavg_z0.03_t6       0  inf  1.0   13  307.250812 -2.906780e+03  2.000000  2.620982e-03      NaN
6579      Tavg_z0.03_t6       0  inf  1.0   14  307.417473 -1.300451e+00  0.250000  1.380285e-02      NaN
6580      Tavg_z0.03_t6       0  inf  1.0   15  307.288523 -4.095287e+00  0.585419  7.399011e-03      NaN
6581      Tavg_z0.03_t6       0  inf  1.0   16  307.272306 -1.849843e+04  1.993359  2.270324e-02      NaN
6582      Tavg_z0.03_t6       0  inf  1.0   17  307.254812 -5.945428e+03  1.978809  6.117882e-03      NaN
6583      Tavg_z0.03_t6       0  inf  1.0   18  307.377085 -1.234556e+00  0.250000  2.922034e-02      NaN
6584      Tavg_z0.03_t6       0  inf  1.0   19  307.119841  1.169826e+00  0.250000  2.186528e-02      NaN
6585      Tavg_z0.03_t6       0  inf  1.0   20  307.251917 -2.274243e+03  2.000000  3.698765e-03      NaN
6586      Tavg_z0.03_t6       0  inf  1.0   21  307.634036 -2.727985e+00  0.250000  2.798948e-02      NaN
6587      Tavg_z0.03_t6       0  inf  1.0   22  307.368490 -1.169194e+00  0.250000  2.956287e-02      NaN
6588      Tavg_z0.03_t6       0  inf  1.0   23  306.945252  1.971126e+00  0.250000  3.181787e-02      NaN
6589      Tavg_z0.03_t6       0  inf  1.0   24  307.368788 -1.340859e+00  0.303472  1.009244e-02      NaN
6590      Tavg_z0.03_t6       0  inf  1.0   25  307.270652 -4.966610e+03  1.753657  2.013983e-02      NaN
6591      Tavg_z0.03_t6       0  inf  1.0   26  307.249637 -3.603345e+03  2.000000  1.443012e-03      NaN
6592      Tavg_z0.03_t6       0  inf  1.0   27  307.226854  3.622067e-01  0.250000  2.551208e-02      NaN
6593      Tavg_z0.03_t6       0  inf  1.0   28  307.179211  5.969049e-01  0.250000  1.157806e-02      NaN
6594      Tavg_z0.03_t6       0  inf  1.0   29  307.429080 -1.464854e+00  0.250000  2.121297e-02      NaN
6595      Tavg_z0.03_t6       0  inf  1.0   30  307.744635 -3.725818e+00  0.250000  4.529802e-02      NaN
6596      Tavg_z0.03_t6       0  inf  1.0   31  307.483032 -1.970379e+00  0.250000  3.206186e-02      NaN
6597      Tavg_z0.03_t6       0  inf  1.0   32  307.343654 -9.829944e-01  0.250000  3.028400e-02      NaN
6598      Tavg_z0.03_t6       0  inf  1.0   33  307.314399 -6.931885e-01  0.250000  2.243730e-02      NaN
6599      Tavg_z0.03_t6       0  inf  1.0   34  307.572504 -2.156519e+00  0.250000  1.626684e-02      NaN
6600      Tavg_z0.03_t6       0  inf  1.0   35  306.929362  2.044540e+00  0.250000  2.533850e-02      NaN
6601      Tavg_z0.03_t6       0  inf  1.0   36  307.300583 -4.310166e-01  0.250000  1.563695e-02      NaN
6602      Tavg_z0.03_t6       0  inf  1.0   37  307.321191 -5.504982e-01  0.250000  7.217198e-03      NaN
6603      Tavg_z0.03_t6       0  inf  1.0   38  307.249321 -3.698962e+03  2.000000  1.119631e-03      NaN
6604      Tavg_z0.03_t6       0  inf  1.0   39  307.502167 -1.759306e+00  0.250000  3.568639e-02      NaN
6605      Tavg_z0.03_t6       0  inf  1.0   40  307.254515 -4.081052e+03  2.000000  6.039726e-03      NaN
6606      Tavg_z0.03_t6       0  inf  1.0   41  307.027317  1.306069e+00  0.250000  2.863152e-02      NaN
6607      Tavg_z0.03_t6       0  inf  1.0   42  307.410143 -1.335005e+00  0.250000  2.160285e-02      NaN
6608      Tavg_z0.03_t6       0  inf  1.0   43  307.473625 -1.899446e+00  0.250000  3.237624e-02      NaN
6609      Tavg_z0.03_t6       0  inf  1.0   44  307.426477 -1.020058e+00  0.250000  1.661575e-02      NaN
6610      Tavg_z0.03_t6       0  inf  1.0   45  307.213395  3.837528e+02  2.000000  3.475515e-02      NaN
6611      Tavg_z0.03_t6       0  inf  1.0   46  306.842072  2.724844e+00  0.250000  2.525403e-02      NaN
6612      Tavg_z0.03_t6       0  inf  1.0   47  307.456683 -1.293848e+00  0.250000  2.150504e-02      NaN
6613      Tavg_z0.03_t6       0  inf  1.0   48  307.251036 -2.671063e+03  2.000000  2.862363e-03      NaN
6614      Tavg_z0.03_t6       0  inf  1.0   49  307.362006 -1.120304e+00  0.250000  2.977955e-02      NaN
6615      Tavg_z0.03_t6       0  inf  1.0   50  307.249895 -3.342452e+03  2.000000  1.879383e-03      NaN
6616      Tavg_z0.03_t6       0  inf  1.0   51  307.180326  5.905631e-01  0.250000  1.155446e-02      NaN
6617      Tavg_z0.03_t6       0  inf  1.0   52  307.484903 -1.506635e+00  0.250000  2.056195e-02      NaN
6618      Tavg_z0.03_t6       0  inf  1.0   53  307.308284 -5.376282e-01  0.250000  1.269854e-02      NaN
6619      Tavg_z0.03_t6       0  inf  1.0   54  307.005360  1.471483e+00  0.250000  2.787831e-02      NaN
6620      Tavg_z0.03_t6       0  inf  1.0   55  307.258630 -1.887861e+02  1.299447  6.226554e-03      NaN
6621      Tavg_z0.03_t6       0  inf  1.0   56  306.861882  2.553757e+00  0.250000  2.313290e-02      NaN
6622      Tavg_z0.03_t6       0  inf  1.0   57  307.249972 -5.856314e+03  2.000000  1.492593e-03      NaN
6623      Tavg_z0.03_t6       0  inf  1.0   58  306.822282  2.885902e+00  0.250000  2.610894e-02      NaN
6624      Tavg_z0.03_t6       0  inf  1.0   59  307.257875 -1.466865e+03  2.000000  5.265823e-03      NaN
6625      Tavg_z0.03_t6       0  inf  1.0   60  307.149929  8.605122e-01  0.250000  1.574864e-02      NaN
6626      Tavg_z0.03_t6       0  inf  1.0   61  307.173210  7.054818e-01  0.250000  1.587171e-02      NaN
6627      Tavg_z0.03_t6       0  inf  1.0   62  307.155811  8.996763e-01  0.250000  2.295848e-02      NaN
6628      Tavg_z0.03_t6       0  inf  1.0   63  307.140364  1.015281e+00  0.250000  2.253015e-02      NaN
6629      Tavg_z0.03_t6       0  inf  1.0   64  307.261957  5.493423e-02  0.250000  2.094588e-02      NaN
6630      Tavg_z0.03_t6       0  inf  1.0   65  306.861244  2.558971e+00  0.250000  2.316263e-02      NaN
6631      Tavg_z0.03_t6       0  inf  1.0   66  307.345615 -7.322465e-01  0.250000  1.326268e-02      NaN
6632      Tavg_z0.03_t6       0  inf  1.0   67  307.564192 -2.082796e+00  0.250000  1.512898e-02      NaN
6633      Tavg_z0.03_t6       0  inf  1.0   68  307.252322 -8.015947e+02  1.609538  2.825391e-03      NaN
6634      Tavg_z0.03_t6       0  inf  1.0   69  307.299217 -6.468459e-01  0.250000  3.187794e-02      NaN
6635      Tavg_z0.03_t6       0  inf  1.0   70  307.174548  6.966672e-01  0.250000  1.587177e-02      NaN
6636      Tavg_z0.03_t6       0  inf  1.0   71  307.253216 -2.231112e+02  2.000000  5.147156e-03      NaN
6637      Tavg_z0.03_t6       0  inf  1.0   72  306.861956  2.552967e+00  0.250000  2.310521e-02      NaN
6638      Tavg_z0.03_t6       0  inf  1.0   73  307.413472 -1.445864e+00  0.250000  3.438653e-02      NaN
6639      Tavg_z0.03_t6       0  inf  1.0   74  306.980361  1.660771e+00  0.250000  2.714350e-02      NaN
6640      Tavg_z0.03_t6       0  inf  1.0   75  307.395816 -1.150866e+00  0.250000  1.491794e-02      NaN
6641      Tavg_z0.03_t6       0  inf  1.0   76  307.272351 -9.296896e+00  0.787598  4.545901e-03      NaN
6642      Tavg_z0.03_t6       0  inf  1.0   77  307.270926 -4.606395e+03  1.741149  2.012921e-02      NaN
6643      Tavg_z0.03_t6       0  inf  1.0   78  307.482453 -1.966009e+00  0.250000  3.208123e-02      NaN
6644      Tavg_z0.03_t6       0  inf  1.0   79  307.408321 -1.116679e+00  0.250000  1.156607e-02      NaN
6645      Tavg_z0.03_t6       0  inf  1.0   80  307.421498 -1.006822e+00  0.250000  1.989774e-02      NaN
6646      Tavg_z0.03_t6       0  inf  1.0   81  307.250977 -2.353595e+03  2.000000  2.873876e-03      NaN
6647      Tavg_z0.03_t6       0  inf  1.0   82  307.249323 -3.688428e+03  2.000000  1.282052e-03      NaN
6648      Tavg_z0.03_t6       0  inf  1.0   83  307.251339 -3.573350e+02  1.542356  1.186792e-03      NaN
6649      Tavg_z0.03_t6       0  inf  1.0   84  307.261064 -3.187695e+03  2.000000  1.277902e-02      NaN
6650      Tavg_z0.03_t6       0  inf  1.0   85  307.408995 -1.152440e+00  0.250000  1.009430e-02      NaN
6651      Tavg_z0.03_t6       0  inf  1.0   86  307.261957  5.493390e-02  0.250000  2.094588e-02      NaN
6652      Tavg_z0.03_t6       0  inf  1.0   87  307.269406 -5.197095e+00  0.700195  4.870539e-03      NaN
6653      Tavg_z0.03_t6       0  inf  1.0   88  307.213282  7.914823e+02  2.000000  3.471331e-02      NaN
6654      Tavg_z0.03_t6       0  inf  1.0   89  306.858092  2.582736e+00  0.250000  2.305730e-02      NaN
6655      Tavg_z0.03_t6       0  inf  1.0   90  307.349580 -7.383150e-01  0.250000  8.618184e-03      NaN
6656      Tavg_z0.03_t6       0  inf  1.0   91  307.303044 -5.602925e-01  0.250000  2.692508e-02      NaN
6657      Tavg_z0.03_t6       0  inf  1.0   92  307.581590 -2.236595e+00  0.250000  1.744540e-02      NaN
6658      Tavg_z0.03_t6       0  inf  1.0   93  307.484596 -1.503923e+00  0.250000  2.052112e-02      NaN
6659      Tavg_z0.03_t6       0  inf  1.0   94  307.360722 -9.380724e-01  0.250000  1.496127e-02      NaN
6660      Tavg_z0.03_t6       0  inf  1.0   95  307.377401 -1.236385e+00  0.250000  2.926507e-02      NaN
6661      Tavg_z0.03_t6       0  inf  1.0   96  307.572504 -2.156519e+00  0.250000  1.626684e-02      NaN
6662      Tavg_z0.03_t6       0  inf  1.0   97  307.563493 -2.100133e+00  0.250000  1.805020e-02      NaN
6663      Tavg_z0.03_t6       0  inf  1.0   98  306.929204  2.045888e+00  0.250000  2.535261e-02      NaN
6664      Tavg_z0.03_t6       0  inf  1.0   99  307.258564 -4.198639e+01  1.091227  5.229297e-03      NaN
6665      Tavg_z0.03_t6       0  inf  1.0  100  307.251564 -2.304649e+03  2.000000  3.624664e-03      NaN
6666     Tavg_z0.03_t12       0  1.0  0.0    0  313.393493 -1.327809e+04  2.000000  3.371940e-02      NaN
6667     Tavg_z0.03_t12       0  1.0  0.0    1  313.393883 -8.087609e+03  1.898438  4.497475e-02      NaN
6668     Tavg_z0.03_t12       0  1.0  0.0    2  313.444252 -1.363181e+02  1.178120  4.967431e-02      NaN
6669     Tavg_z0.03_t12       0  1.0  0.0    3  313.409751 -5.645968e+03  1.821954  3.245491e-02      NaN
6670     Tavg_z0.03_t12       0  1.0  0.0    4  313.385421 -9.173879e+03  1.931055  1.844829e-02      NaN
6671     Tavg_z0.03_t12       0  1.0  0.0    5  313.407400 -1.327809e+04  2.000000  8.199029e-02      NaN
6672     Tavg_z0.03_t12       0  1.0  0.0    6  313.408540 -3.991570e+03  1.759006  2.646419e-02      NaN
6673     Tavg_z0.03_t12       0  1.0  0.0    7  313.382323 -1.152242e+04  1.982813  1.592765e-02      NaN
6674     Tavg_z0.03_t12       0  1.0  0.0    8  313.393670 -1.359213e+04  2.000000  4.329050e-02      NaN
6675     Tavg_z0.03_t12       0  1.0  0.0    9  313.407400 -1.327808e+04  2.000000  3.365025e-02      NaN
6676     Tavg_z0.03_t12       0  1.0  0.0   10  313.393736 -9.771752e+03  1.935352  1.270743e-02      NaN
6677     Tavg_z0.03_t12       0  1.0  0.0   11  313.393848 -1.359705e+04  2.000000  5.036623e-02      NaN
6678     Tavg_z0.03_t12       0  1.0  0.0   12  313.395124 -1.364081e+04  2.000000  3.074008e-02      NaN
6679     Tavg_z0.03_t12       0  1.0  0.0   13  313.386736 -1.309039e+04  2.000000  3.218687e-02      NaN
6680     Tavg_z0.03_t12       0  1.0  0.0   14  313.385037 -7.733698e+03  1.903711  1.755278e-02      NaN
6681     Tavg_z0.03_t12       0  1.0  0.0   15  313.410414 -3.232061e+03  1.733968  1.575108e-02      NaN
6682     Tavg_z0.03_t12       0  1.0  0.0   16  313.383163 -1.299114e+04  2.000000  1.392167e-02      NaN
6683     Tavg_z0.03_t12       0  1.0  0.0   17  313.395854 -4.376409e+03  1.787835  9.323829e-03      NaN
6684     Tavg_z0.03_t12       0  1.0  0.0   18  313.436262 -1.473514e+04  2.000000  5.222654e-02      NaN
6685     Tavg_z0.03_t12       0  1.0  0.0   19  313.435278 -1.443878e+04  2.000000  8.367585e-02      NaN
6686     Tavg_z0.03_t12       0  1.0  0.0   20  313.393494 -1.327812e+04  2.000000  3.425152e-02      NaN
6687     Tavg_z0.03_t12       0  1.0  0.0   21  313.397139 -7.853745e+03  1.891406  1.322616e-02      NaN
6688     Tavg_z0.03_t12       0  1.0  0.0   22  313.436559 -4.479194e+03  1.770732  4.393139e-02      NaN
6689     Tavg_z0.03_t12       0  1.0  0.0   23  313.394331 -6.661929e+03  1.864844  2.229165e-02      NaN
6690     Tavg_z0.03_t12       0  1.0  0.0   24  313.420568 -2.284560e+03  1.650681  4.469604e-02      NaN
6691     Tavg_z0.03_t12       0  1.0  0.0   25  313.395810 -7.501377e+03  1.882962  4.538916e-02      NaN
6692     Tavg_z0.03_t12       0  1.0  0.0   26  313.409069 -1.401983e+04  2.000000  2.035092e-02      NaN
6693     Tavg_z0.03_t12       0  1.0  0.0   27  313.386736 -1.309039e+04  2.000000  8.022233e-03      NaN
6694     Tavg_z0.03_t12       0  1.0  0.0   28  313.414284 -1.404293e+04  2.000000  5.017247e-02      NaN
6695     Tavg_z0.03_t12       0  1.0  0.0   29  313.383861 -1.153463e+04  1.976465  1.207220e-02      NaN
6696     Tavg_z0.03_t12       0  1.0  0.0   30  313.382405 -1.328751e+04  2.000000  7.886043e-03      NaN
6697     Tavg_z0.03_t12       0  1.0  0.0   31  313.441180 -7.973934e+02  1.447587  3.097795e-02      NaN
6698     Tavg_z0.03_t12       0  1.0  0.0   32  313.413086 -4.094938e+03  1.757772  4.462222e-02      NaN
6699     Tavg_z0.03_t12       0  1.0  0.0   33  313.434894 -1.386669e+04  1.987988  1.314388e-02      NaN
6700     Tavg_z0.03_t12       0  1.0  0.0   34  313.395266 -2.982003e+03  1.724864  1.139056e-02      NaN
6701     Tavg_z0.03_t12       0  1.0  0.0   35  313.390431 -6.004064e+03  1.851929  9.077954e-03      NaN
6702     Tavg_z0.03_t12       0  1.0  0.0   36  313.393583 -1.359802e+04  2.000000  3.657294e-02      NaN
6703     Tavg_z0.03_t12       0  1.0  0.0   37  313.405585 -1.247143e+04  2.000000  3.247980e-02      NaN
6704     Tavg_z0.03_t12       0  1.0  0.0   38  313.407772 -7.993686e+03  1.912109  3.298450e-02      NaN
6705     Tavg_z0.03_t12       0  1.0  0.0   39  313.393569 -1.354921e+04  2.000000  3.021447e-02      NaN
6706     Tavg_z0.03_t12       0  1.0  0.0   40  313.393716 -9.687624e+03  1.933789  1.182869e-02      NaN
6707     Tavg_z0.03_t12       0  1.0  0.0   41  313.407771 -1.274290e+04  1.981836  4.833884e-02      NaN
6708     Tavg_z0.03_t12       0  1.0  0.0   42  313.395036 -3.314763e+03  1.746575  2.548027e-02      NaN
6709     Tavg_z0.03_t12       0  1.0  0.0   43  313.409371 -6.451348e+03  1.848050  3.340034e-02      NaN
6710     Tavg_z0.03_t12       0  1.0  0.0   44  313.435385 -1.462907e+04  2.000000  4.935751e-02      NaN
6711     Tavg_z0.03_t12       0  1.0  0.0   45  313.393731 -7.190908e+03  1.898535  9.947523e-03      NaN
6712     Tavg_z0.03_t12       0  1.0  0.0   46  313.449498 -1.046385e+02  1.123329  2.236526e-02      NaN
6713     Tavg_z0.03_t12       0  1.0  0.0   47  313.386940 -9.516843e+03  1.937598  1.132706e-02      NaN
6714     Tavg_z0.03_t12       0  1.0  0.0   48  313.393439 -1.289029e+04  2.000000  4.981217e-02      NaN
6715     Tavg_z0.03_t12       0  1.0  0.0   49  313.384140 -1.242474e+04  1.988086  2.265538e-02      NaN
6716     Tavg_z0.03_t12       0  1.0  0.0   50  313.431116 -5.440568e+01  1.006550  7.464760e-02      NaN
6717     Tavg_z0.03_t12       0  1.0  0.0   51  313.393678 -1.056139e+04  1.950684  8.127122e-03      NaN
6718     Tavg_z0.03_t12       0  1.0  0.0   52  313.383409 -1.185542e+04  2.000000  1.910963e-02      NaN
6719     Tavg_z0.03_t12       0  1.0  0.0   53  313.394268 -9.636822e+03  1.932422  8.496220e-03      NaN
6720     Tavg_z0.03_t12       0  1.0  0.0   54  313.407479 -1.385391e+04  2.000000  3.262266e-02      NaN
6721     Tavg_z0.03_t12       0  1.0  0.0   55  313.391508 -1.283664e+04  2.000000  2.809699e-02      NaN
6722     Tavg_z0.03_t12       0  1.0  0.0   56  313.408962 -7.315817e+03  1.874609  1.735487e-02      NaN
6723     Tavg_z0.03_t12       0  1.0  0.0   57  313.436908 -1.475308e+04  2.000000  3.406162e-02      NaN
6724     Tavg_z0.03_t12       0  1.0  0.0   58  313.436167 -1.465078e+04  2.000000  3.766346e-02      NaN
6725     Tavg_z0.03_t12       0  1.0  0.0   59  313.438291 -1.786135e+03  1.606391  4.706920e-02      NaN
6726     Tavg_z0.03_t12       0  1.0  0.0   60  313.408014 -1.103221e+04  1.955273  2.694685e-02      NaN
6727     Tavg_z0.03_t12       0  1.0  0.0   61  313.398356 -2.849933e+03  1.714638  2.706527e-02      NaN
6728     Tavg_z0.03_t12       0  1.0  0.0   62  313.405526 -1.775682e+03  1.619922  1.376637e-02      NaN
6729     Tavg_z0.03_t12       0  1.0  0.0   63  313.385493 -4.342483e+03  1.802734  4.926147e-02      NaN
6730     Tavg_z0.03_t12       0  1.0  0.0   64  313.408429 -3.471237e+03  1.748779  1.079541e-02      NaN
6731     Tavg_z0.03_t12       0  1.0  0.0   65  313.453592 -3.609123e+01  0.912882  1.837705e-02      NaN
6732     Tavg_z0.03_t12       0  1.0  0.0   66  313.394149 -7.534040e+03  1.888965  8.160593e-03      NaN
6733     Tavg_z0.03_t12       0  1.0  0.0   67  313.408327 -1.369014e+04  2.000000  6.527311e-02      NaN
6734     Tavg_z0.03_t12       0  1.0  0.0   68  313.393493 -1.327808e+04  2.000000  3.310876e-02      NaN
6735     Tavg_z0.03_t12       0  1.0  0.0   69  313.412143 -4.737921e+03  1.788452  5.203645e-02      NaN
6736     Tavg_z0.03_t12       0  1.0  0.0   70  313.441278 -2.204750e+03  1.626215  3.052390e-02      NaN
6737     Tavg_z0.03_t12       0  1.0  0.0   71  313.453655 -3.592545e+01  0.911947  6.945709e-02      NaN
6738     Tavg_z0.03_t12       0  1.0  0.0   72  313.407400 -1.327809e+04  2.000000  6.590364e-02      NaN
6739     Tavg_z0.03_t12       0  1.0  0.0   73  313.442147 -2.879029e+03  1.678057  2.740107e-02      NaN
6740     Tavg_z0.03_t12       0  1.0  0.0   74  313.393494 -1.327812e+04  2.000000  3.330381e-02      NaN
6741     Tavg_z0.03_t12       0  1.0  0.0   75  313.386642 -1.308780e+04  2.000000  1.078851e-02      NaN
6742     Tavg_z0.03_t12       0  1.0  0.0   76  313.434782 -1.442498e+04  2.000000  5.270479e-02      NaN
6743     Tavg_z0.03_t12       0  1.0  0.0   77  313.621441 -1.430132e+02  1.035004  5.404707e-02      NaN
6744     Tavg_z0.03_t12       0  1.0  0.0   78  313.438091 -1.309977e+03  1.535118  1.359873e-02      NaN
6745     Tavg_z0.03_t12       0  1.0  0.0   79  313.382464 -1.328915e+04  2.000000  1.232198e-02      NaN
6746     Tavg_z0.03_t12       0  1.0  0.0   80  313.437801 -5.105715e+03  1.791626  1.209355e-02      NaN
6747     Tavg_z0.03_t12       0  1.0  0.0   81  313.426424 -1.076970e+03  1.513249  7.267210e-03      NaN
6748     Tavg_z0.03_t12       0  1.0  0.0   82  313.395305 -1.214631e+04  1.977246  2.401783e-02      NaN
6749     Tavg_z0.03_t12       0  1.0  0.0   83  313.386945 -1.336523e+04  2.000000  9.850124e-03      NaN
6750     Tavg_z0.03_t12       0  1.0  0.0   84  313.408065 -1.387016e+04  2.000000  5.169462e-02      NaN
6751     Tavg_z0.03_t12       0  1.0  0.0   85  313.393535 -1.358838e+04  2.000000  4.838881e-02      NaN
6752     Tavg_z0.03_t12       0  1.0  0.0   86  313.399127 -1.403520e+02  1.212674  4.108040e-02      NaN
6753     Tavg_z0.03_t12       0  1.0  0.0   87  313.394254 -1.361666e+04  2.000000  7.087029e-03      NaN
6754     Tavg_z0.03_t12       0  1.0  0.0   88  313.408118 -6.064014e+03  1.837109  2.882070e-02      NaN
6755     Tavg_z0.03_t12       0  1.0  0.0   89  313.434732 -1.474104e+04  2.000000  3.391112e-02      NaN
6756     Tavg_z0.03_t12       0  1.0  0.0   90  313.407442 -1.385288e+04  2.000000  3.208367e-02      NaN
6757     Tavg_z0.03_t12       0  1.0  0.0   91  313.393835 -8.382967e+03  1.907227  2.486537e-02      NaN
6758     Tavg_z0.03_t12       0  1.0  0.0   92  313.393493 -1.327806e+04  2.000000  1.126138e-02      NaN
6759     Tavg_z0.03_t12       0  1.0  0.0   93  313.383162 -1.299109e+04  2.000000  6.847141e-03      NaN
6760     Tavg_z0.03_t12       0  1.0  0.0   94  313.392840 -1.211741e+04  2.000000  4.796391e-02      NaN
6761     Tavg_z0.03_t12       0  1.0  0.0   95  313.409112 -1.317337e+03  1.643601  2.044828e-02      NaN
6762     Tavg_z0.03_t12       0  1.0  0.0   96  313.395118 -3.176322e+03  1.738200  4.717060e-02      NaN
6763     Tavg_z0.03_t12       0  1.0  0.0   97  313.439033 -3.637268e+03  1.724887  2.607949e-02      NaN
6764     Tavg_z0.03_t12       0  1.0  0.0   98  313.450812 -2.549536e+03  1.651801  6.086026e-02      NaN
6765     Tavg_z0.03_t12       0  1.0  0.0   99  313.393673 -1.066200e+04  1.952539  3.687311e-03      NaN
6766     Tavg_z0.03_t12       0  1.0  0.0  100  313.393646 -1.355137e+04  2.000000  2.738176e-02      NaN
6767     Tavg_z0.03_t12       0  1.0  1.0    0  313.381455 -4.898937e+03  2.000000  6.862452e-03      NaN
6768     Tavg_z0.03_t12       0  1.0  1.0    1  313.381457 -4.662573e+03  1.993262  2.356354e-03      NaN
6769     Tavg_z0.03_t12       0  1.0  1.0    2  313.382036 -4.898939e+03  2.000000  7.203014e-02      NaN
6770     Tavg_z0.03_t12       0  1.0  1.0    3  313.588211 -1.137060e+00  0.250000  2.389370e-02      NaN
6771     Tavg_z0.03_t12       0  1.0  1.0    4  313.401826 -7.869917e+01  1.170904  6.166692e-02      NaN
6772     Tavg_z0.03_t12       0  1.0  1.0    5  313.384840 -1.283098e+03  1.734409  2.568236e-02      NaN
6773     Tavg_z0.03_t12       0  1.0  1.0    6  313.400213 -8.943103e+01  1.231472  1.184013e-02      NaN
6774     Tavg_z0.03_t12       0  1.0  1.0    7  313.381587 -4.149186e+03  1.970312  9.205878e-03      NaN
6775     Tavg_z0.03_t12       0  1.0  1.0    8  313.381927 -1.570386e+03  1.810052  1.398436e-02      NaN
6776     Tavg_z0.03_t12       0  1.0  1.0    9  313.361128 -2.629933e+03  2.000000  6.655551e-02      NaN
6777     Tavg_z0.03_t12       0  1.0  1.0   10  313.382036 -4.898920e+03  2.000000  6.206839e-02      NaN
6778     Tavg_z0.03_t12       0  1.0  1.0   11  313.383144 -1.299019e+04  2.000000  1.928564e-02      NaN
6779     Tavg_z0.03_t12       0  1.0  1.0   12  313.381455 -4.905549e+03  2.000000  5.785760e-02      NaN
6780     Tavg_z0.03_t12       0  1.0  1.0   13  313.381212 -4.819300e+03  2.000000  1.503672e-02      NaN
6781     Tavg_z0.03_t12       0  1.0  1.0   14  313.381210 -4.871694e+03  2.000000  9.382418e-02      NaN
6782     Tavg_z0.03_t12       0  1.0  1.0   15  313.381444 -4.752377e+03  2.000000  6.571863e-02      NaN
6783     Tavg_z0.03_t12       0  1.0  1.0   16  313.382184 -3.404647e+03  1.928711  1.053915e-02      NaN
6784     Tavg_z0.03_t12       0  1.0  1.0   17  313.388547 -4.899002e+03  2.000000  1.500434e-02      NaN
6785     Tavg_z0.03_t12       0  1.0  1.0   18  313.382170 -1.796107e+03  1.850000  2.842878e-03      NaN
6786     Tavg_z0.03_t12       0  1.0  1.0   19  313.410233 -8.300862e+00  0.780355  7.114172e-02      NaN
6787     Tavg_z0.03_t12       0  1.0  1.0   20  313.381610 -6.028992e+03  2.000000  1.470277e-02      NaN
6788     Tavg_z0.03_t12       0  1.0  1.0   21  313.381280 -4.276194e+03  2.000000  1.052657e-01      NaN
6789     Tavg_z0.03_t12       0  1.0  1.0   22  313.384640 -3.317002e+03  1.920020  1.589227e-02      NaN
6790     Tavg_z0.03_t12       0  1.0  1.0   23  313.381461 -4.798396e+03  1.996582  1.124194e-01      NaN
6791     Tavg_z0.03_t12       0  1.0  1.0   24  313.388547 -4.898940e+03  2.000000  1.340944e-02      NaN
6792     Tavg_z0.03_t12       0  1.0  1.0   25  313.383934 -4.642346e+03  2.000000  1.353893e-02      NaN
6793     Tavg_z0.03_t12       0  1.0  1.0   26  313.380442 -4.673809e+03  2.000000  8.935108e-02      NaN
6794     Tavg_z0.03_t12       0  1.0  1.0   27  313.381598 -3.153849e+03  1.931738  8.378418e-03      NaN
6795     Tavg_z0.03_t12       0  1.0  1.0   28  313.381434 -4.825410e+03  2.000000  1.096588e-01      NaN
6796     Tavg_z0.03_t12       0  1.0  1.0   29  313.402594 -4.411860e+02  1.465088  3.111467e-02      NaN
6797     Tavg_z0.03_t12       0  1.0  1.0   30  313.381444 -4.752410e+03  2.000000  1.193123e-02      NaN
6798     Tavg_z0.03_t12       0  1.0  1.0   31  313.382322 -1.296779e+04  2.000000  5.470455e-02      NaN
6799     Tavg_z0.03_t12       0  1.0  1.0   32  313.402217 -5.993703e+01  1.128950  1.257294e-02      NaN
6800     Tavg_z0.03_t12       0  1.0  1.0   33  313.382048 -1.431884e+03  1.842143  2.958810e-03      NaN
6801     Tavg_z0.03_t12       0  1.0  1.0   34  313.397639 -1.401141e+03  1.718728  9.960167e-03      NaN
6802     Tavg_z0.03_t12       0  1.0  1.0   35  313.382037 -4.915143e+03  2.000000  1.989083e-02      NaN
6803     Tavg_z0.03_t12       0  1.0  1.0   36  312.569259  4.073976e+00  0.250000  1.015827e-01      NaN
6804     Tavg_z0.03_t12       0  1.0  1.0   37  313.391201 -5.654798e+01  1.197575  4.947762e-02      NaN
6805     Tavg_z0.03_t12       0  1.0  1.0   38  313.464722 -8.512125e-01  0.293164  3.795449e-02      NaN
6806     Tavg_z0.03_t12       0  1.0  1.0   39  313.384084 -4.971979e+03  2.000000  2.441537e-02      NaN
6807     Tavg_z0.03_t12       0  1.0  1.0   40  313.361209 -3.740454e+03  2.000000  1.054329e-01      NaN
6808     Tavg_z0.03_t12       0  1.0  1.0   41  313.381473 -4.466896e+03  1.984863  2.861233e-02      NaN
6809     Tavg_z0.03_t12       0  1.0  1.0   42  313.381237 -4.006411e+03  1.968945  1.455713e-02      NaN
