             QOI  subset    p    s    b       beta0        beta1          beta2        beta12    gamma1    gamma2     objective  p-value
84   Temperature       0  1.0  0.0   84  305.804691   163.896195     231.926451 -3.214068e+05  3.999909  1.400991  1.235592e-03      NaN
85   Temperature       0  1.0  0.0   85  305.782760   155.088360     237.709774 -1.743813e+05  3.999854  1.297658  9.715128e-04      NaN
86   Temperature       0  1.0  0.0   86  305.806264   106.050300    4486.886551 -5.349462e+06  3.785985  1.999953  1.312823e-03      NaN
87   Temperature       0  1.0  0.0   87  305.783574   151.676184     302.817544 -2.114016e+05  3.999999  1.335992  2.359805e-03      NaN
88   Temperature       0  1.0  0.0   88  305.782760   155.096340     237.696636 -1.743842e+05  3.999881  1.297651  1.061061e-07      NaN
89   Temperature       0  1.0  0.0   89  305.792240   166.648502     296.158321 -3.117317e+05  3.999889  1.389711  1.516787e-03      NaN
90   Temperature       0  1.0  0.0   90  305.791379    47.095576    3615.493303 -6.694594e+05  3.360214  1.776411  2.685362e-04      NaN
91   Temperature       0  1.0  0.0   91  305.785530   167.963931     200.566690 -1.831746e+05  3.999922  1.290697  5.296385e-04      NaN
92   Temperature       0  1.0  0.0   92  305.786446   101.080171     367.868482 -1.937868e+05  3.697872  1.399573  4.829145e-04      NaN
93   Temperature       0  1.0  0.0   93  305.757227   156.555722      89.439157 -4.993143e+04  3.999970  1.066543  1.096772e-03      NaN
94   Temperature       0  1.0  0.0   94  305.808021    93.782171    1386.385756 -1.098476e+06  3.697281  1.733022  6.491098e-05      NaN
95   Temperature       0  1.0  0.0   95  305.776775   177.169763      74.026398 -6.975146e+04  3.999808  1.105733  1.031772e-03      NaN
96   Temperature       0  1.0  0.0   96  305.817473   132.922191     849.328862 -6.736316e+06  3.908949  1.999781  1.736474e-03      NaN
97   Temperature       0  1.0  0.0   97  305.806975    69.246823   11769.547050 -3.495343e+06  3.654161  1.999971  9.794326e-04      NaN
98   Temperature       0  1.0  0.0   98  305.806100   108.116569    4872.156090 -5.492150e+06  3.802483  1.999956  1.346517e-03      NaN
99   Temperature       0  1.0  0.0   99  305.804714   164.651892     310.840225 -4.115582e+05  3.999845  1.444899  1.016606e-03      NaN
100  Temperature       0  1.0  0.0  100  305.790976    45.174228    2776.267701 -5.891650e+05  3.260691  1.762471  6.979195e-04      NaN
101  Temperature       0  1.0  1.0    0  305.791677    31.399087   10094.390342 -1.454008e+06  3.039822  1.999687  1.224028e-03      NaN
102  Temperature       0  1.0  1.0    1  305.787737    57.173157     288.748711 -1.113206e+05  3.304436  1.413559  1.460432e-05      NaN
103  Temperature       0  1.0  1.0    2  305.791654    31.493327    9844.288116 -1.424846e+06  3.041285  1.995506  8.138873e-08      NaN
104  Temperature       0  1.0  1.0    3  305.791680    31.395471   10103.777277 -1.455380e+06  3.039749  1.999884  6.047481e-04      NaN
105  Temperature       0  1.0  1.0    4  305.791656    32.401631    8980.918274 -1.347849e+06  3.056634  1.979478  9.318648e-06      NaN
106  Temperature       0  1.0  1.0    5  305.686721   114.939655      37.934857 -1.118472e+04  3.737452  0.850752  8.569269e-05      NaN
107  Temperature       0  1.0  1.0    6  305.791660    31.466176    9884.249348 -1.429819e+06  3.040724  1.996323  7.650502e-08      NaN
108  Temperature       0  1.0  1.0    7  305.791649    32.437028    8843.781100 -1.331825e+06  3.056895  1.977207  9.396963e-06      NaN
109  Temperature       0  1.0  1.0    8  305.921096    87.270938      -3.465737 -8.997901e+02  2.788295  0.448010  1.818755e-03      NaN
110  Temperature       0  1.0  1.0    9  305.791678    31.398062   10097.536399 -1.454410e+06  3.039806  1.999743  2.092638e-08      NaN
111  Temperature       0  1.0  1.0   10  305.786200    55.215148     273.749223 -1.003080e+05  3.276957  1.401352  6.580608e-05      NaN
112  Temperature       0  1.0  1.0   11  305.786195    55.211159     273.698231 -1.002736e+05  3.276904  1.401303  6.590283e-05      NaN
113  Temperature       0  1.0  1.0   12  305.785626    59.914015     230.430115 -8.983412e+04  3.326830  1.364828  1.913278e-05      NaN
114  Temperature       0  1.0  1.0   13  305.791679    31.403898   10089.273180 -1.453430e+06  3.039933  1.999582  1.684640e-07      NaN
115  Temperature       0  1.0  1.0   14  306.936308    -1.603740      -8.870000  1.765801e+01  0.500000  0.250000  2.426762e-03      NaN
116  Temperature       0  1.0  1.0   15  305.791677    31.395862   10098.540411 -1.454446e+06  3.039762  1.999762  1.163457e-03      NaN
117  Temperature       0  1.0  1.0   16  305.792897    33.200094    9574.421128 -1.543809e+06  3.067461  1.999863  5.283379e-05      NaN
118  Temperature       0  1.0  1.0   17  305.788793    20.512716    8532.371006 -8.623258e+05  2.781871  1.999954  4.022285e-04      NaN
119  Temperature       0  1.0  1.0   18  305.792855    33.195068    9604.781779 -1.569447e+06  3.066743  1.999914  9.912043e-05      NaN
120  Temperature       0  1.0  1.0   19  305.792786    32.859233    9529.822739 -1.550819e+06  3.059525  1.999967  6.980869e-04      NaN
121  Temperature       0  1.0  1.0   20  305.791881    32.699170   10304.619588 -1.552814e+06  3.064481  1.999905  7.386467e-05      NaN
122  Temperature       0  1.0  1.0   21  305.791677    31.399608   10094.323764 -1.454069e+06  3.039832  1.999691  1.163418e-03      NaN
123  Temperature       0  1.0  1.0   22  306.947854    -1.615252      -8.939360  1.774620e+01  0.500000  0.250000  2.429111e-03      NaN
124  Temperature       0  1.0  1.0   23  305.791677    31.391337   10106.160175 -1.455241e+06  3.039682  1.999890  1.163579e-03      NaN
125  Temperature       0  1.0  1.0   24  305.788793    20.512176    8530.292603 -8.618028e+05  2.781902  1.999843  4.020675e-04      NaN
126  Temperature       0  1.0  1.0   25  305.792784    32.856316    9521.647448 -1.549669e+06  3.059428  1.999854  7.051839e-04      NaN
127  Temperature       0  1.0  1.0   26  305.787745    57.148651     289.168801 -1.114528e+05  3.304208  1.413864  1.524989e-05      NaN
128  Temperature       0  1.0  1.0   27  305.787941    18.784240    9362.883126 -7.805827e+05  2.745146  1.999812  3.749557e-04      NaN
129  Temperature       0  1.0  1.0   28  305.791660    32.371078    9016.204649 -1.351935e+06  3.056055  1.980224  9.444773e-06      NaN
130  Temperature       0  1.0  1.0   29  305.782613   156.288144     227.686850 -1.694686e+05  3.999982  1.290970  2.095149e-03      NaN
131  Temperature       0  1.0  1.0   30  305.791881    32.695404   10307.916876 -1.553171e+06  3.064407  1.999971  7.406275e-05      NaN
132  Temperature       0  1.0  1.0   31  305.921059    87.133424      -3.469188 -8.989624e+02  2.787712  0.448176  1.815867e-03      NaN
133  Temperature       0  1.0  1.0   32  305.784807   148.880965     383.845240 -2.594480e+05  3.999863  1.376002  2.086996e-03      NaN
134  Temperature       0  1.0  1.0   33  305.791875    32.687996   10313.477557 -1.552922e+06  3.064317  1.999980  7.343236e-05      NaN
135  Temperature       0  1.0  1.0   34  306.872473    -1.113234      -8.900827  1.619230e+01  0.500000  0.250000  1.502842e-03      NaN
136  Temperature       0  1.0  1.0   35  305.791678    31.408202   10084.736711 -1.453071e+06  3.040004  1.999510  2.992818e-05      NaN
137  Temperature       0  1.0  1.0   36  305.920077    87.822276      -3.506624 -9.201600e+02  2.794331  0.450906  1.824369e-03      NaN
138  Temperature       0  1.0  1.0   37  305.782615   156.266784     227.719631 -1.694744e+05  3.999895  1.291003  2.095167e-03      NaN
139  Temperature       0  1.0  1.0   38  305.790795    35.323580    5741.889075 -9.051878e+05  3.114201  1.888772  1.154062e-03      NaN
140  Temperature       0  1.0  1.0   39  305.791670    31.413982   10066.090782 -1.450324e+06  3.040119  1.999123  6.713214e-08      NaN
141  Temperature       0  1.0  1.0   40  305.791670    31.417209   10062.364735 -1.449904e+06  3.040190  1.999049  3.364115e-07      NaN
142  Temperature       0  1.0  1.0   41  305.791655    31.288186   10076.443459 -1.449587e+06  3.037119  1.999997  5.930461e-05      NaN
143  Temperature       0  1.0  1.0   42  305.791673    31.379034   10106.669296 -1.454449e+06  3.039479  1.999872  6.044968e-04      NaN
144  Temperature       0  1.0  1.0   43  305.921089    87.291613      -3.466095 -9.001773e+02  2.788485  0.448043  1.788819e-03      NaN
145  Temperature       0  1.0  1.0   44  305.791674    31.414483   10069.354605 -1.450992e+06  3.040125  1.999206  7.890287e-08      NaN
146  Temperature       0  1.0  1.0   45  305.785401    61.969232     211.509260 -8.572634e+04  3.343130  1.349440  1.776868e-06      NaN
147  Temperature       0  1.0  1.0   46  305.791674    31.411789   10072.262197 -1.451263e+06  3.040079  1.999257  1.007842e-07      NaN
148  Temperature       0  1.0  1.0   47  305.822971   248.952418    -533.192184 -9.087391e+05  3.999946  1.512511  2.308277e-03      NaN
149  Temperature       0  1.0  1.0   48  305.792914    33.326771    9567.350515 -1.548565e+06  3.069677  1.999531  5.407448e-05      NaN
150  Temperature       0  1.0  1.0   49  305.792857    33.192364    9599.796693 -1.569538e+06  3.066598  1.999952  9.970820e-05      NaN
151  Temperature       0  1.0  1.0   50  305.791670    31.374857   10108.298631 -1.454049e+06  3.039452  1.999846  6.341321e-04      NaN
152  Temperature       0  1.0  1.0   51  305.686719   114.967641      37.936978 -1.118774e+04  3.737639  0.850754  1.151976e-04      NaN
153  Temperature       0  1.0  1.0   52  305.791641    32.455763    8814.510435 -1.327882e+06  3.057255  1.976545  9.400755e-06      NaN
154  Temperature       0  1.0  1.0   53  305.787945    53.064626     570.063167 -1.839908e+05  3.282635  1.517062  3.165284e-05      NaN
155  Temperature       0  1.0  1.0   54  305.792915    33.328016    9566.243057 -1.548622e+06  3.069677  1.999531  5.406080e-05      NaN
156  Temperature       0  1.0  1.0   55  305.791676    31.402994   10087.870350 -1.453233e+06  3.039897  1.999564  2.962985e-08      NaN
157  Temperature       0  1.0  1.0   56  305.790795    35.336246    5735.521456 -9.045336e+05  3.114418  1.888568  1.153977e-03      NaN
158  Temperature       0  1.0  1.0   57  305.788788    20.500780    8540.914211 -8.619874e+05  2.781642  1.999999  4.021286e-04      NaN
159  Temperature       0  1.0  1.0   58  305.790878    34.857537    6239.628604 -9.622286e+05  3.107965  1.902454  9.834925e-06      NaN
160  Temperature       0  1.0  1.0   59  305.789931    49.115623     804.108141 -2.465611e+05  3.243823  1.586245  1.776364e-05      NaN
161  Temperature       0  1.0  1.0   60  305.787532   116.586061    1146.332533 -4.880658e+05  3.999939  1.539722  2.297895e-03      NaN
162  Temperature       0  1.0  1.0   61  305.791675    31.394166   10098.852194 -1.454489e+06  3.039710  1.999780  7.893155e-08      NaN
163  Temperature       0  1.0  1.0   62  305.785694    59.669224     236.328492 -9.158160e+04  3.325277  1.369098  1.915567e-05      NaN
164  Temperature       0  1.0  1.0   63  305.921087    87.272678      -3.466898 -9.001106e+02  2.788369  0.448072  1.818689e-03      NaN
165  Temperature       0  1.0  1.0   64  305.791663    32.386847    9005.948268 -1.351302e+06  3.056341  1.980041  2.045816e-05      NaN
166  Temperature       0  1.0  1.0   65  305.791658    31.481826    9865.200950 -1.427478e+06  3.041066  1.995919  2.240946e-07      NaN
167  Temperature       0  1.0  1.0   66  305.791878    32.698175   10316.996019 -1.553657e+06  3.064554  1.999998  7.355234e-05      NaN
168  Temperature       0  1.0  1.0   67  305.790813    31.828089    7925.629973 -1.126362e+06  3.048383  1.949961  2.654843e-05      NaN
169  Temperature       0  1.0  1.0   68  305.821888   248.461843    -446.681960 -8.175662e+05  3.999736  1.493433  1.682483e-03      NaN
170  Temperature       0  1.0  1.0   69  305.937102    90.916843      -3.142717 -8.042617e+02  2.777162  0.418991  1.833866e-03      NaN
171  Temperature       0  1.0  1.0   70  305.792717    32.158917    9462.064107 -1.487339e+06  3.048210  1.999931  3.765808e-05      NaN
172  Temperature       0  1.0  1.0   71  305.783022   154.124288     252.024458 -1.826089e+05  3.999761  1.307211  2.098294e-03      NaN
173  Temperature       0  1.0  1.0   72  305.920108    87.815369      -3.507435 -9.200951e+02  2.794260  0.450909  1.831510e-03      NaN
174  Temperature       0  1.0  1.0   73  305.790786    35.344496    5726.468283 -9.031636e+05  3.114555  1.888241  9.460431e-06      NaN
175  Temperature       0  1.0  1.0   74  305.791680    31.390745   10108.839302 -1.455970e+06  3.039638  1.999990  1.038590e-07      NaN
176  Temperature       0  1.0  1.0   75  305.678548   133.763959      31.470993 -1.060322e+04  3.821746  0.812016  9.604702e-05      NaN
