             QOI  subset    p    s    b       beta0     beta1    gamma1  objective  p-value
124  Temperature       0  1.0  1.0   23  305.723738  2.195128  1.177344   0.010747      NaN
125  Temperature       0  1.0  1.0   24  305.714628  2.776236  1.355518   0.017253      NaN
126  Temperature       0  1.0  1.0   25  305.654323  2.347021  1.147167   0.008906      NaN
127  Temperature       0  1.0  1.0   26  305.617004  2.179596  1.023612   0.006159      NaN
128  Temperature       0  1.0  1.0   27  305.698163  2.401723  1.236127   0.004226      NaN
129  Temperature       0  1.0  1.0   28  305.333759  1.867998  0.566702   0.014710      NaN
130  Temperature       0  1.0  1.0   29  305.700382  2.439020  1.249674   0.008867      NaN
131  Temperature       0  1.0  1.0   30  305.772036  2.683467  1.453951   0.010395      NaN
132  Temperature       0  1.0  1.0   31  305.655900  2.164316  1.091863   0.005730      NaN
133  Temperature       0  1.0  1.0   32  305.597763  1.999532  0.912272   0.013315      NaN
134  Temperature       0  1.0  1.0   33  305.508358  1.838049  0.737280   0.010505      NaN
135  Temperature       0  1.0  1.0   34  305.703300  2.798395  1.347906   0.007076      NaN
136  Temperature       0  1.0  1.0   35  305.808405  4.104641  1.875027   0.009231      NaN
137  Temperature       0  1.0  1.0   36  305.717959  2.882468  1.384778   0.004388      NaN
138  Temperature       0  1.0  1.0   37  305.804654  3.823546  1.812609   0.013250      NaN
139  Temperature       0  1.0  1.0   38  305.787414  2.647152  1.478784   0.015442      NaN
140  Temperature       0  1.0  1.0   39  305.528018  1.902529  0.778646   0.012553      NaN
141  Temperature       0  1.0  1.0   40  305.461599  1.866184  0.685683   0.017770      NaN
142  Temperature       0  1.0  1.0   41  305.777879  2.648707  1.479338   0.016119      NaN
143  Temperature       0  1.0  1.0   42  305.645861  2.335649  1.077410   0.018861      NaN
144  Temperature       0  1.0  1.0   43  305.697863  2.369887  1.229145   0.008615      NaN
145  Temperature       0  1.0  1.0   44  305.534967  1.916785  0.804036   0.012787      NaN
146  Temperature       0  1.0  1.0   45  305.820115  4.315690  1.959766   0.007572      NaN
147  Temperature       0  1.0  1.0   46  305.700520  2.439429  1.250212   0.009425      NaN
148  Temperature       0  1.0  1.0   47  305.635556  2.196489  1.070340   0.006199      NaN
149  Temperature       0  1.0  1.0   48  305.670498  2.690671  1.251758   0.015047      NaN
150  Temperature       0  1.0  1.0   49  305.634735  2.190484  1.067173   0.010921      NaN
151  Temperature       0  1.0  1.0   50  305.726792  3.004970  1.439079   0.012782      NaN
152  Temperature       0  1.0  1.0   51  305.700345  2.438013  1.249376   0.004276      NaN
153  Temperature       0  1.0  1.0   52  305.655361  2.161787  1.089956   0.013646      NaN
154  Temperature       0  1.0  1.0   53  305.700336  2.440332  1.250152   0.011768      NaN
155  Temperature       0  1.0  1.0   54  305.614718  2.322782  1.045091   0.009723      NaN
156  Temperature       0  1.0  1.0   55  305.691914  2.439019  1.249674   0.009398      NaN
157  Temperature       0  1.0  1.0   56  305.798941  2.875463  1.581532   0.013848      NaN
158  Temperature       0  1.0  1.0   57  305.699928  2.436277  1.248063   0.015217      NaN
159  Temperature       0  1.0  1.0   58  305.739381  3.221857  1.527205   0.014429      NaN
160  Temperature       0  1.0  1.0   59  305.617580  2.181531  1.025269   0.016891      NaN
161  Temperature       0  1.0  1.0   60  305.709740  2.723885  1.329508   0.004721      NaN
162  Temperature       0  1.0  1.0   61  305.717959  2.882470  1.384778   0.005469      NaN
163  Temperature       0  1.0  1.0   62  305.674705  2.361075  1.181044   0.004295      NaN
164  Temperature       0  1.0  1.0   63  305.771852  2.680582  1.452568   0.008815      NaN
165  Temperature       0  1.0  1.0   64  305.795620  3.191203  1.667318   0.005425      NaN
166  Temperature       0  1.0  1.0   65  305.781595  2.829782  1.552268   0.014194      NaN
167  Temperature       0  1.0  1.0   66  305.699492  2.433454  1.246094   0.009034      NaN
168  Temperature       0  1.0  1.0   67  305.807632  4.064625  1.863919   0.017852      NaN
169  Temperature       0  1.0  1.0   68  305.708633  2.772957  1.332867   0.008503      NaN
170  Temperature       0  1.0  1.0   69  305.685331  2.571665  1.281901   0.009706      NaN
171  Temperature       0  1.0  1.0   70  305.593507  1.878676  0.912354   0.013427      NaN
172  Temperature       0  1.0  1.0   71  305.640512  2.343995  1.086343   0.007816      NaN
173  Temperature       0  1.0  1.0   72  305.812473  3.341637  1.741815   0.013602      NaN
174  Temperature       0  1.0  1.0   73  305.699965  2.436586  1.248242   0.007079      NaN
175  Temperature       0  1.0  1.0   74  305.780446  2.765631  1.511572   0.012656      NaN
176  Temperature       0  1.0  1.0   75  305.700519  2.439434  1.250212   0.013737      NaN
177  Temperature       0  1.0  1.0   76  305.801085  3.444535  1.701525   0.008707      NaN
178  Temperature       0  1.0  1.0   77  305.784071  2.903709  1.552897   0.011057      NaN
179  Temperature       0  1.0  1.0   78  305.745669  3.277414  1.567293   0.006414      NaN
180  Temperature       0  1.0  1.0   79  305.794516  3.181974  1.596243   0.009075      NaN
181  Temperature       0  1.0  1.0   80  305.506806  1.965576  0.787516   0.008847      NaN
182  Temperature       0  1.0  1.0   81  305.782139  2.622983  1.447103   0.014361      NaN
183  Temperature       0  1.0  1.0   82  305.601736  2.050648  0.965495   0.010403      NaN
184  Temperature       0  1.0  1.0   83  305.679450  2.519779  1.197157   0.011734      NaN
185  Temperature       0  1.0  1.0   84  305.702606  2.852660  1.353304   0.005114      NaN
