Mesh,z,x,y,r,T,Vol
1,1,0.00228419748600572,-0.000325089247780852,0.00230721502554434,293.316009521484,1.35904313238545e-12
1,1,0.00227285746950656,-0.000396677496610209,0.00230721349532476,293.316009521484,1.35901517095627e-12
1,1,0.00225927500287071,-0.000467874000605661,0.00230721252142909,293.316009521484,1.3589383953512e-12
1,1,0.00224346504546702,-0.000538608757779002,0.00230721364511147,293.316009521484,1.3590040533871e-12
1,1,0.00222544249845669,-0.000608812013524584,0.00230721615410195,293.316009521484,1.35901025025287e-12
1,1,0.00220522249583155,-0.000678414508001879,0.00230721748016717,293.316009521484,1.35898234318218e-12
1,1,0.0021828250028193,-0.000747347250580788,0.00230721756795577,293.316009521484,1.35901464652935e-12
1,1,0.00215827248757705,-0.000815542487544008,0.00230721686878835,293.316009521484,1.35909527751872e-12
1,1,0.00213158747646958,-0.000882933236425743,0.00230721396273236,293.316009521484,1.35906687104892e-12
1,1,0.00210280250757933,-0.000949452238273807,0.0023072143243845,293.316009521484,1.35890782085987e-12
1,1,0.00207194255199283,-0.00101503523183055,0.00230721530434762,293.316009521484,1.35908138692982e-12
1,1,0.00203903752844781,-0.00107961500179954,0.00230721533336816,293.316009521484,1.35889676002423e-12
1,1,0.00200412003323436,-0.00114312750520185,0.00230721425116097,293.316009521484,1.35901785923653e-12
1,1,0.00196722248801962,-0.00120551500003785,0.00230721276276947,293.316009521484,1.3590796437754e-12
1,1,0.00192838493967429,-0.00126671500038356,0.0023072137672438,293.316009521484,1.35906885541828e-12
1,1,0.00188764499034733,-0.00132666248828173,0.00230721411390387,293.316009521484,1.35893569096991e-12
1,1,0.00184504251228645,-0.00138529998366721,0.00230721431967052,293.316009521484,1.35900870832378e-12
1,1,0.00180061999708414,-0.00144257000647485,0.00230721490058472,293.316009521484,1.35886621261474e-12
1,1,0.00175441999454051,-0.00149841752136126,0.00230721576484861,293.316009521484,1.35904702698941e-12
1,1,0.00170648749917746,-0.00155278499005362,0.00230721494668025,293.316009521484,1.35889676461509e-12
1,1,0.0016568725113757,-0.00160561999655329,0.00230721522452592,293.316009521484,1.35908671216418e-12
1,1,0.00160561999655329,-0.0016568725113757,0.00230721522452592,293.316009521484,1.35908671216418e-12
1,1,0.00155278499005362,-0.00170648749917746,0.00230721494668025,293.316009521484,1.35889676461509e-12
1,1,0.00149841752136126,-0.00175441999454051,0.00230721576484861,293.316009521484,1.35904702698941e-12
1,1,0.00144257000647485,-0.00180061999708414,0.00230721490058472,293.316009521484,1.35886621261474e-12
1,1,0.00138529998366721,-0.00184504251228645,0.00230721431967052,293.316009521484,1.35900870832378e-12
1,1,0.00132666248828173,-0.00188764499034733,0.00230721411390387,293.316009521484,1.35893569096991e-12
1,1,0.00126671500038356,-0.00192838493967429,0.0023072137672438,293.316009521484,1.35906885541828e-12
1,1,0.00120551500003785,-0.00196722248801962,0.00230721276276947,293.316009521484,1.3590796437754e-12
1,1,0.00114312750520185,-0.00200412003323436,0.00230721425116097,293.316009521484,1.35901785923653e-12
1,1,0.00107961500179954,-0.00203903752844781,0.00230721533336816,293.316009521484,1.35889676002423e-12
1,1,0.00101503523183055,-0.00207194255199283,0.00230721530434762,293.316009521484,1.35908138692982e-12
1,1,0.000949452238273807,-0.00210280250757933,0.0023072143243845,293.316009521484,1.35890782085987e-12
1,1,0.000882933236425743,-0.00213158747646958,0.00230721396273236,293.316009521484,1.35906687104892e-12
1,1,0.000815542487544008,-0.00215827248757705,0.00230721686878835,293.316009521484,1.35909527751872e-12
1,1,0.000747347250580788,-0.0021828250028193,0.00230721756795577,293.316009521484,1.35901464652935e-12
1,1,0.000678414508001879,-0.00220522249583155,0.00230721748016717,293.316009521484,1.35898234318218e-12
1,1,0.000608812013524584,-0.00222544249845669,0.00230721615410195,293.316009521484,1.35901025025287e-12
1,1,0.000538608757779002,-0.00224346504546702,0.00230721364511147,293.316009521484,1.3590040533871e-12
1,1,0.000467874000605661,-0.00225927500287071,0.00230721252142909,293.316009521484,1.3589383953512e-12
1,1,0.000396677496610209,-0.00227285746950656,0.00230721349532476,293.316009521484,1.35901517095627e-12
1,1,0.000325089247780852,-0.00228419748600572,0.00230721502554434,293.316009521484,1.35904313238545e-12
1,1,0.000253180500294548,-0.00229328247951344,0.00230721583224732,293.316009521484,1.35892871657559e-12
1,1,0.000181022001925157,-0.00230010249651968,0.00230721487072121,293.316009521484,1.35890935866058e-12
1,1,0.000108684651422664,-0.00230465247295797,0.00230721376871892,293.316009521484,1.35894414945442e-12
1,1,3.62401497113756e-05,-0.00230692996410653,0.00230721459941282,293.316009521484,1.35896081068374e-12
1,1,-3.62401497113746e-05,-0.00230692996410653,0.00230721459941282,293.316009521484,1.35896081068378e-12
1,1,-0.000108684651422664,-0.00230465247295797,0.00230721376871892,293.316009521484,1.35894414945442e-12
1,1,-0.000181022001925157,-0.00230010249651968,0.00230721487072121,293.316009521484,1.35890935866058e-12
1,1,-0.000253180500294548,-0.00229328247951344,0.00230721583224732,293.316009521484,1.35892871657559e-12
1,1,-0.000325089247780852,-0.00228419748600572,0.00230721502554434,293.316009521484,1.35904313238545e-12
1,1,-0.000396677496610209,-0.00227285746950656,0.00230721349532476,293.316009521484,1.35901517095627e-12
1,1,-0.000467874000605661,-0.00225927500287071,0.00230721252142909,293.316009521484,1.3589383953512e-12
1,1,-0.000538608757779002,-0.00224346504546702,0.00230721364511147,293.316009521484,1.3590040533871e-12
1,1,-0.000608812013524584,-0.00222544249845669,0.00230721615410195,293.316009521484,1.35901025025287e-12
1,1,-0.000678414508001879,-0.00220522249583155,0.00230721748016717,293.316009521484,1.35898234318218e-12
1,1,-0.000747347250580788,-0.0021828250028193,0.00230721756795577,293.316009521484,1.35901464652935e-12
1,1,-0.000815542487544008,-0.00215827248757705,0.00230721686878835,293.316009521484,1.35909527751872e-12
1,1,-0.000882933236425743,-0.00213158747646958,0.00230721396273236,293.316009521484,1.35906687104892e-12
1,1,-0.000949452238273807,-0.00210280250757933,0.0023072143243845,293.316009521484,1.35890782085987e-12
1,1,-0.00101503523183055,-0.00207194255199283,0.00230721530434762,293.316009521484,1.35908138692982e-12
1,1,-0.00107961500179954,-0.00203903752844781,0.00230721533336816,293.316009521484,1.35889676002423e-12
1,1,-0.00114312750520185,-0.00200412003323436,0.00230721425116097,293.316009521484,1.35901785923653e-12
1,1,-0.00120551500003785,-0.00196722248801962,0.00230721276276947,293.316009521484,1.3590796437754e-12
1,1,-0.00126671500038356,-0.00192838493967429,0.0023072137672438,293.316009521484,1.35906885541828e-12
1,1,-0.00132666248828173,-0.00188764499034733,0.00230721411390387,293.316009521484,1.35893569096991e-12
1,1,-0.00138529998366721,-0.00184504251228645,0.00230721431967052,293.316009521484,1.35900870832378e-12
1,1,-0.00144257000647485,-0.00180061999708414,0.00230721490058472,293.316009521484,1.35886621261474e-12
1,1,-0.00149841752136126,-0.00175441999454051,0.00230721576484861,293.316009521484,1.35904702698941e-12
1,1,-0.00155278499005362,-0.00170648749917746,0.00230721494668025,293.316009521484,1.35889676461509e-12
1,1,-0.00160561999655329,-0.0016568725113757,0.00230721522452592,293.316009521484,1.35908671216418e-12
1,1,-0.0016568725113757,-0.00160561999655329,0.00230721522452592,293.316009521484,1.35908671216418e-12
