             QOI  subset    p    s    b       beta0         beta1    gamma1     objective  p-value
107  Temperature       0  1.0  1.0    6  307.249005  2.910855e+06  2.000000  1.094573e-03      NaN
108  Temperature       0  1.0  1.0    7  307.235246  2.983705e+06  2.000000  4.784830e-03      NaN
109  Temperature       0  1.0  1.0    8  307.251626  2.910858e+06  2.000000  8.721067e-04      NaN
110  Temperature       0  1.0  1.0    9  307.251405  2.706499e+06  1.991162  8.906802e-04      NaN
111  Temperature       0  1.0  1.0   10  307.247848  2.007815e+06  1.954883  9.421615e-05      NaN
112  Temperature       0  1.0  1.0   11  307.249919  2.836151e+06  2.000000  2.670482e-03      NaN
113  Temperature       0  1.0  1.0   12  307.249004  2.910855e+06  2.000000  8.721413e-04      NaN
114  Temperature       0  1.0  1.0   13  307.229443  1.101367e+06  1.869341  3.614089e-03      NaN
115  Temperature       0  1.0  1.0   14  307.227625  7.092732e+05  1.815694  3.484003e-03      NaN
116  Temperature       0  1.0  1.0   15  307.249004  2.910858e+06  2.000000  8.722002e-04      NaN
117  Temperature       0  1.0  1.0   16  307.247533  2.178324e+06  1.962207  6.989794e-04      NaN
118  Temperature       0  1.0  1.0   17  307.235813  2.910856e+06  2.000000  4.388388e-03      NaN
119  Temperature       0  1.0  1.0   18  307.246287  1.500207e+06  1.916860  6.009169e-04      NaN
120  Temperature       0  1.0  1.0   19  307.249004  2.910857e+06  2.000000  4.388477e-03      NaN
121  Temperature       0  1.0  1.0   20  307.246288  1.500609e+06  1.916895  2.715005e-04      NaN
122  Temperature       0  1.0  1.0   21  307.229442  1.101328e+06  1.869336  7.745382e-04      NaN
123  Temperature       0  1.0  1.0   22  307.247533  2.178325e+06  1.962207  6.989905e-04      NaN
124  Temperature       0  1.0  1.0   23  307.229154  1.024862e+06  1.860569  3.592916e-03      NaN
125  Temperature       0  1.0  1.0   24  307.249919  2.836151e+06  2.000000  2.670482e-03      NaN
126  Temperature       0  1.0  1.0   25  307.229153  1.024862e+06  1.860569  7.957119e-04      NaN
127  Temperature       0  1.0  1.0   26  307.248823  2.925703e+06  2.000000  2.297329e-03      NaN
128  Temperature       0  1.0  1.0   27  307.249004  2.910857e+06  2.000000  5.483032e-03      NaN
129  Temperature       0  1.0  1.0   28  307.248822  2.925694e+06  2.000000  1.197755e-04      NaN
130  Temperature       0  1.0  1.0   29  307.227694  8.439742e+05  1.834561  3.429531e-03      NaN
131  Temperature       0  1.0  1.0   30  307.251405  2.706498e+06  1.991162  8.906103e-04      NaN
132  Temperature       0  1.0  1.0   31  307.251400  2.705493e+06  1.991113  5.279311e-03      NaN
133  Temperature       0  1.0  1.0   32  307.247532  2.178331e+06  1.962207  4.562062e-03      NaN
134  Temperature       0  1.0  1.0   33  307.246289  1.500608e+06  1.916895  2.715397e-04      NaN
135  Temperature       0  1.0  1.0   34  307.247848  2.007816e+06  1.954883  9.413018e-05      NaN
136  Temperature       0  1.0  1.0   35  307.249004  2.910855e+06  2.000000  2.177892e-03      NaN
137  Temperature       0  1.0  1.0   36  307.250229  1.863214e+06  1.945801  9.859492e-04      NaN
138  Temperature       0  1.0  1.0   37  307.247848  2.007815e+06  1.954883  9.421924e-05      NaN
139  Temperature       0  1.0  1.0   38  307.249004  2.910858e+06  2.000000  1.239180e-07      NaN
140  Temperature       0  1.0  1.0   39  307.248067  2.929705e+06  2.000000  5.578198e-03      NaN
141  Temperature       0  1.0  1.0   40  307.248892  2.925336e+06  2.000000  9.508642e-04      NaN
142  Temperature       0  1.0  1.0   41  307.249004  2.910857e+06  2.000000  4.388477e-03      NaN
143  Temperature       0  1.0  1.0   42  307.249004  2.910858e+06  2.000000  2.177785e-03      NaN
144  Temperature       0  1.0  1.0   43  307.234715  3.000409e+06  2.000000  6.229495e-03      NaN
145  Temperature       0  1.0  1.0   44  307.234715  3.000409e+06  2.000000  7.216112e-04      NaN
146  Temperature       0  1.0  1.0   45  307.247848  2.007816e+06  1.954883  9.413018e-05      NaN
147  Temperature       0  1.0  1.0   46  307.249004  2.910857e+06  2.000000  8.721067e-04      NaN
148  Temperature       0  1.0  1.0   47  307.246289  1.500608e+06  1.916895  2.716206e-04      NaN
149  Temperature       0  1.0  1.0   48  307.249571  2.837997e+06  2.000000  2.653594e-03      NaN
